Wavelength (A),Transmittance
8820,8.57E-05
8825,8.64E-05
8830,8.59E-05
8835,8.38E-05
8840,7.69E-05
8845,7.53E-05
8850,7.19E-05
8855,7.62E-05
8860,7.26E-05
8865,6.92E-05
8870,6.61E-05
8875,6.61E-05
8880,6.76E-05
8885,6.61E-05
8890,6.32E-05
8895,5.57E-05
8900,5.84E-05
8905,6.46E-05
8910,5.83E-05
8915,6.27E-05
8920,5.45E-05
8925,5.63E-05
8930,5.82E-05
8935,5.90E-05
8940,5.61E-05
8945,4.99E-05
8950,5.38E-05
8955,5.31E-05
8960,4.89E-05
8965,5.11E-05
8970,5.04E-05
8975,4.98E-05
8980,5.01E-05
8985,4.68E-05
8990,5.17E-05
8995,4.46E-05
9000,4.28E-05
9005,4.58E-05
9010,4.78E-05
9015,4.90E-05
9020,4.46E-05
9025,5.06E-05
9030,4.42E-05
9035,3.90E-05
9040,3.90E-05
9045,4.35E-05
9050,4.37E-05
9055,3.71E-05
9060,4.01E-05
9065,3.94E-05
9070,3.65E-05
9075,4.53E-05
9080,4.55E-05
9085,4.16E-05
9090,3.72E-05
9095,4.63E-05
9100,3.39E-05
9105,3.42E-05
9110,4.41E-05
9115,4.20E-05
9120,3.42E-05
9125,3.78E-05
9130,3.42E-05
9135,3.66E-05
9140,4.80E-05
9145,3.67E-05
9150,3.51E-05
9155,3.90E-05
9160,3.21E-05
9165,3.77E-05
9170,3.95E-05
9175,3.99E-05
9180,3.95E-05
9185,4.04E-05
9190,3.45E-05
9195,3.99E-05
9200,4.20E-05
9205,0.000035225
9210,4.02E-05
9215,3.31E-05
9220,3.80E-05
9225,3.75E-05
9230,3.77E-05
9235,3.61E-05
9240,3.80E-05
9245,3.77E-05
9250,3.82E-05
9255,3.95E-05
9260,4.03E-05
9265,3.90E-05
9270,3.42E-05
9275,3.94E-05
9280,3.45E-05
9285,3.60E-05
9290,3.67E-05
9295,3.59E-05
9300,3.92E-05
9305,3.94E-05
9310,3.35E-05
9315,3.79E-05
9320,3.60E-05
9325,3.61E-05
9330,3.83E-05
9335,3.66E-05
9340,3.56E-05
9345,3.24E-05
9350,3.68E-05
9355,4.24E-05
9360,3.53E-05
9365,3.47E-05
9370,3.59E-05
9375,3.71E-05
9380,4.24E-05
9385,3.54E-05
9390,3.61E-05
9395,3.53E-05
9400,3.71E-05
9405,3.59E-05
9410,4.31E-05
9415,3.51E-05
9420,3.73E-05
9425,3.66E-05
9430,3.97E-05
9435,3.65E-05
9440,3.81E-05
9445,3.43E-05
9450,3.76E-05
9455,3.71E-05
9460,3.75E-05
9465,3.78E-05
9470,2.90E-05
9475,4.11E-05
9480,2.96E-05
9485,3.37E-05
9490,3.27E-05
9495,3.32E-05
9500,3.55E-05
9505,3.52E-05
9510,2.97E-05
9515,3.54E-05
9520,3.90E-05
9525,3.32E-05
9530,3.23E-05
9535,3.23E-05
9540,3.38E-05
9545,3.57E-05
9550,3.13E-05
9555,3.36E-05
9560,3.39E-05
9565,3.47E-05
9570,3.40E-05
9575,3.45E-05
9580,3.27E-05
9585,3.62E-05
9590,3.21E-05
9595,0.000035814
9600,3.22E-05
9605,3.37E-05
9610,3.39E-05
9615,3.23E-05
9620,3.33E-05
9625,3.24E-05
9630,3.16E-05
9635,3.14E-05
9640,3.40E-05
9645,3.05E-05
9650,3.17E-05
9655,3.12E-05
9660,3.46E-05
9665,3.40E-05
9670,2.90E-05
9675,3.18E-05
9680,3.00E-05
9685,3.14E-05
9690,3.44E-05
9695,3.11E-05
9700,2.73E-05
9705,0.000035261
9710,3.29E-05
9715,3.49E-05
9720,3.09E-05
9725,3.02E-05
9730,3.22E-05
9735,3.45E-05
9740,3.15E-05
9745,3.68E-05
9750,2.92E-05
9755,3.37E-05
9760,3.31E-05
9765,2.94E-05
9770,3.17E-05
9775,3.14E-05
9780,2.99E-05
9785,3.61E-05
9790,3.07E-05
9795,3.11E-05
9800,3.25E-05
9805,3.18E-05
9810,3.12E-05
9815,2.72E-05
9820,3.39E-05
9825,3.07E-05
9830,2.89E-05
9835,3.35E-05
9840,3.10E-05
9845,3.16E-05
9850,0.00003246
9855,3.75E-05
9860,3.10E-05
9865,3.47E-05
9870,3.27E-05
9875,3.17E-05
9880,2.32E-05
9885,3.49E-05
9890,2.98E-05
9895,3.13E-05
9900,3.88E-05
9905,3.46E-05
9910,3.28E-05
9915,2.96E-05
9920,3.23E-05
9925,2.94E-05
9930,3.28E-05
9935,3.42E-05
9940,3.16E-05
9945,3.24E-05
9950,3.33E-05
9955,3.18E-05
9960,3.02E-05
9965,3.33E-05
9970,3.29E-05
9975,2.61E-05
9980,3.14E-05
9985,3.10E-05
9990,3.15E-05
9995,3.42E-05
10000,3.44E-05
10005,3.39E-05
10010,3.28E-05
10015,3.25E-05
10020,2.92E-05
10025,2.60E-05
10030,3.13E-05
10035,3.19E-05
10040,2.92E-05
10045,3.35E-05
10050,2.89E-05
10055,2.90E-05
10060,2.78E-05
10065,3.15E-05
10070,3.14E-05
10075,3.44E-05
10080,3.01E-05
10085,3.20E-05
10090,3.07E-05
10095,3.49E-05
10100,3.10E-05
10105,3.31E-05
10110,3.36E-05
10115,2.99E-05
10120,3.04E-05
10125,2.98E-05
10130,3.27E-05
10135,3.21E-05
10140,3.19E-05
10145,3.48E-05
10150,3.77E-05
10155,3.24E-05
10160,3.28E-05
10165,3.15E-05
10170,3.55E-05
10175,2.92E-05
10180,2.87E-05
10185,3.55E-05
10190,3.26E-05
10195,3.13E-05
10200,3.18E-05
10205,3.27E-05
10210,3.14E-05
